Balanced Meal Plan,oatmeal=80;apple=300,cashews=56;greek yogurt=340,chicken breast=300;green beans=250;brown rice=360,hummus=60;carrots=160,salmon=400;spinach=170;sweet potato=300,
Balanced Nutrition,oatmeal=60;apple=200,cashews=28;blackberries=144,chicken breast=200;green beans=125;brown rice=180,blueberries=140;cottage cheese=110,salmon=250;sweet potato=150;mushrooms=100,
Balanced Plan,greek yogurt=170;raspberries=123,oatmeal=40;walnuts=28,chicken thighs=130;spinach=85;bell peppers=119,almonds=28;cheese sticks=50,turkey breast=120;asparagus=134;brussels sprouts=88,
Endurance Booster,greek yogurt=340;raspberries=246,cashews=56;blackberries=288,chicken thighs=260;broccoli=182;brown rice=360,hummus=60;celery=202,tuna=170;butternut squash=280;mushrooms=200,
Endurance Fuel,greek yogurt=170;raspberries=123,cashews=28;blueberries=140,chicken thighs=200;broccoli=91;brown rice=180,black beans=130;carrots=80,tuna=170;butternut squash=140;spinach=85,
Energy Booster,oatmeal=40;apple=150,almonds=28;blueberries=140,chicken breast=150;broccoli=91;brown rice=180,cottage cheese=110;blackberries=144,salmon=200;sweet potato=150;spinach=85,
High Protein Day,eggs=200;avocado=150,almonds=56;blackberries=144,beef steak=300;broccoli=182;quinoa=185,blueberries=140;cottage cheese=220,tilapia=240;sweet potato=300;mushrooms=200,
Low Carb Plan,greek yogurt=170;raspberries=123,hard-boiled eggs=165,chicken thighs=130;spinach=85;bell peppers=119,almonds=28;cheese sticks=56,turkey breast=120;asparagus=134;brussels sprouts=88,
Nutrient Rich,acai bowl=200;blueberries=140,cashews=28;dates=24,quinoa=185;black beans=130;avocado=100,edamame=155;green peas=160,lentil soup=240;kale=70;sweet potato=150,
Protein Power,eggs=165;avocado=100,almonds=28;dates=24,beef steak=150;green beans=125;quinoa=185,hummus=30;cucumber=100,tilapia=120;butternut squash=140;mushrooms=100,
Protein-Packed Day,eggs=150;avocado=100,almonds=28;blueberries=140,beef steak=200;broccoli=91;quinoa=185,hummus=30;carrots=80,tilapia=180;sweet potato=200;spinach=85,
Vegan Delight,chia pudding=150;banana=120,cashews=28;blackberries=144,chickpea salad=150;carrots=80;lentil soup=240,edamame=155;green peas=160,lentil soup=240;kale=70;sweet potato=150,
Vegan Energy,oatmeal=80;banana=120,dates=24;cashews=28,quinoa=185;black beans=130;avocado=100,edamame=155;green peas=160,lentil soup=240;kale=70;sweet potato=150,
Vegan Energy Boost,acai bowl=400;blueberries=280,dates=48;cashews=56,quinoa=370;black beans=260;avocado=200,edamame=310;green peas=320,sweet potato=300;kale=140;spinach=170,
Vegetarian Delight,chia pudding=150;banana=120,brazil nuts=28;blackberries=144,chickpea salad=200;green peas=160;lentil soup=240,hummus=30;celery=101,quinoa=185;avocado=100;swiss chard=175,
Vegetarian High Calorie,chia pudding=300;banana=240,brazil nuts=56;blueberries=280,chickpea salad=300;green peas=320;lentil soup=480,edamame=310;cucumber=200,quinoa=370;avocado=200;swiss chard=350,
bestofriendo,green peas=200;turkey breast=300,pumpkin soup=300,salmon=300;brown rice=200,,chicken thighs=300;greek salad=200,
